name,metric,mean,std
causal,reward,6.41578,0.848019
causal,acc,0.22993,0.00515894
causal,delay,2.02555,0.239418
causal,energy,0.714972,0.305457
causal,backlog,24565.9,2333.12
causal,vio,0.313667,0.129129
causal,ms_per_slot,30.6924,0.83913
causal,decision_ms,1.77447,0.154275
causal,comm_ms,5.928,0
causal,bcd_ms,22.9899,0.795162
causal,update_ms,0.826328,0.0216086
causal,comm_uplink_B,200,0
causal,comm_downlink_B,416,0
causal,comm_rounds,1,0
causal,sec,11.5221,0.338378
ucb,reward,5.70311,0.914842
ucb,acc,0.218407,0.00647217
ucb,delay,2.77795,0.758705
ucb,energy,0.70773,0.279949
ucb,backlog,34532,5342.85
ucb,vio,0.351667,0.140319
ucb,ms_per_slot,54.6438,33.2753
ucb,decision_ms,19.883,34.5776
ucb,comm_ms,3.24,4.96507e-16
ucb,bcd_ms,31.5208,9.31001
ucb,update_ms,0.2871,0.166082
ucb,comm_uplink_B,120,0
ucb,comm_downlink_B,160,0
ucb,comm_rounds,1,0
ucb,sec,22.3576,10.5407
dts,reward,5.43501,0.919278
dts,acc,0.218346,0.00779074
dts,delay,3.14852,1.14599
dts,energy,0.72763,0.271635
dts,backlog,39839.1,26005.7
dts,vio,0.433,0.141373
dts,ms_per_slot,28.7146,2.09132
dts,decision_ms,2.78984,0.346452
dts,comm_ms,4.24,0
dts,bcd_ms,21.6848,1.82308
dts,update_ms,0.165824,0.0385986
dts,comm_uplink_B,120,0
dts,comm_downlink_B,160,0
dts,comm_rounds,2,0
dts,sec,12.0962,0.81384
gdo,reward,3.63761,0.642814
gdo,acc,0.257135,0.00092632
gdo,delay,17.9547,3.25133
gdo,energy,0.710121,0.24765
gdo,backlog,313074,61385.9
gdo,vio,0.766334,0.0755959
gdo,ms_per_slot,25.8769,1.4025
gdo,decision_ms,0.101648,0.00529258
gdo,comm_ms,5.16,0
gdo,bcd_ms,20.6152,1.39734
gdo,update_ms,0,0
gdo,comm_uplink_B,320,0
gdo,comm_downlink_B,200,0
gdo,comm_rounds,1,0
gdo,sec,6.28399,0.424756
rss,reward,3.22229,0.564637
rss,acc,0.215224,0.00547992
rss,delay,49.6289,31.5352
rss,energy,0.908132,0.327654
rss,backlog,502759,244971
rss,vio,0.792,0.160006
rss,ms_per_slot,24.6337,3.07734
rss,decision_ms,0.00479015,0.000170197
rss,comm_ms,3.24,4.96507e-16
rss,bcd_ms,21.3889,3.07728
rss,update_ms,0,0
rss,comm_uplink_B,120,0
rss,comm_downlink_B,160,0
rss,comm_rounds,1,0
rss,sec,6.47507,0.923519
dqn,reward,3.60059,1.03687
dqn,acc,0.225693,0.00135494
dqn,delay,6.39124,0.871055
dqn,energy,0.920277,0.419818
dqn,backlog,73594.4,13699.4
dqn,vio,0.707267,0.07665
dqn,ms_per_slot,49.7527,0.70899
dqn,decision_ms,21.3911,0.207167
dqn,comm_ms,5.48,0
dqn,bcd_ms,22.8816,0.541078
dqn,update_ms,20.9169,0.188776
dqn,comm_uplink_B,360,0
dqn,comm_downlink_B,200,0
dqn,comm_rounds,1,0
dqn,sec,13.5027,0.460344
ppo,reward,3.01225,1.01464
ppo,acc,0.226892,0.00111417
ppo,delay,8.52167,2.13358
ppo,energy,0.937718,0.419387
ppo,backlog,96797.1,31001.4
ppo,vio,0.779667,0.0553567
ppo,ms_per_slot,29.0435,0.258213
ppo,decision_ms,1.64786,0.0416695
ppo,comm_ms,5.48,0
ppo,bcd_ms,21.9156,0.257266
ppo,update_ms,0.992102,0.027697
ppo,comm_uplink_B,360,0
ppo,comm_downlink_B,200,0
ppo,comm_rounds,1,0
ppo,sec,7.13864,0.0778234
mappo,reward,3.10449,1.14439
mappo,acc,0.226221,0.00217403
mappo,delay,7.87402,2.37584
mappo,energy,0.935984,0.437524
mappo,backlog,88478,31991.9
mappo,vio,0.769467,0.0787538
mappo,ms_per_slot,25.6063,0.297856
mappo,decision_ms,0.55914,0.00882598
mappo,comm_ms,3.24,4.96507e-16
mappo,bcd_ms,21.8072,0.290077
mappo,update_ms,0.31059,0.0057923
mappo,comm_uplink_B,120,0
mappo,comm_downlink_B,160,0
mappo,comm_rounds,1,0
mappo,sec,6.77838,0.0900254
cto,reward,5.50242,0.59993
cto,acc,0.197581,0.00246907
cto,delay,1.77737,0.127367
cto,energy,0.808793,0.369082
cto,backlog,15339.9,1236.29
cto,vio,0.357667,0.0962251
cto,ms_per_slot,64.1621,4.06695
cto,decision_ms,32.8216,2.31514
cto,comm_ms,6.48,0
cto,bcd_ms,24.8605,1.82852
cto,update_ms,0.249543,0.0453596
cto,comm_uplink_B,360,0
cto,comm_downlink_B,200,0
cto,comm_rounds,2,0
cto,sec,17.3822,1.22625
